Filename,Type,Date,Volume,Issue,Pages,OCR batch
CWSupp007.pdf,Christian Workers’ Supplement,1891-07,,,4,1
CWSupp008.pdf,Christian Workers’ Supplement,1891-09,,,4,1
CWSupp009.pdf,Christian Workers’ Supplement,1891-10,,,4,1
CWSupp010.pdf,Christian Workers’ Supplement,1891-11,,,4,1
CWSupp011.pdf,Christian Workers’ Supplement,1891-12,,,4,1
CWSupp012.pdf,Christian Workers’ Supplement,1892-01,,,18,1
HolidayGuide.pdf,Holiday Guide,1891-05-29,,,24,1
HT0010001.pdf,Home Tidings,1879-06,1,1,28,1
HT0010002.pdf,Home Tidings,1879-07,1,2,24,1
HT0010003.pdf,Home Tidings,1879-07,1,3,16,1
HT0010004.pdf,Home Tidings,1879-08,1,4,24,1
HT0010005.pdf,Home Tidings,1879-11,1,5,24,1
HT0010006.pdf,Home Tidings,1879-12,1,6,16,1
HT0010007.pdf,Home Tidings,1880-01,1,7,16,1
HT0010008.pdf,Home Tidings,1880-02,1,8,16,1
HT0010009.pdf,Home Tidings,1880-03,1,9,36,1
HT0010010.pdf,Home Tidings,1880-04,1,10,16,1
HT0010011.pdf,Home Tidings,1880-05,1,11,16,1
HT0010012.pdf,Home Tidings,1880-06,1,12,20,1
HT0010013.pdf,Home Tidings,1880-07,1,13,20,1
HT0010014.pdf,Home Tidings,1880-08,1,14,16,1
HT0010015.pdf,Home Tidings,1880-09,1,15,16,1
HT0010016.pdf,Home Tidings,1880-10,1,16,16,1
HT0010017.pdf,Home Tidings,1880-11,1,17,16,1
HT0010018.pdf,Home Tidings,1880-12,1,18,14,1
HT0020019.pdf,Home Tidings,1881-01,2,19,12,1
HT0020020.pdf,Home Tidings,1881-02,2,20,20,1
HT0020021.pdf,Home Tidings,1881-03,2,21,8,1
HT0020022.pdf,Home Tidings,1881-04,2,22,16,1
HT0020023.pdf,Home Tidings,1881-05,2,23,20,1
HT0020024.pdf,Home Tidings,1881-06,2,24,12,1
HT0020025.pdf,Home Tidings,1881-07,2,25,12,1
HT0020026.pdf,Home Tidings,1881-08,2,26,16,1
HT0020027.pdf,Home Tidings,1881-09,2,27,16,1
HT0020028.pdf,Home Tidings,1881-10,2,28,16,1
HT0020029.pdf,Home Tidings,1881-11,2,29,24,1
HT0020030.pdf,Home Tidings,1881-12,2,30,23,1
HT0030031.pdf,Home Tidings,1882-01,3,31,20,1
HT0030032.pdf,Home Tidings,1882-02,3,32,16,1
HT0030033.pdf,Home Tidings,1882-03,3,33,42,1
HT0030034.pdf,Home Tidings,1882-04,3,34,16,1
HT0030035.pdf,Home Tidings,1882-05,3,35,28,1
HT0030036.pdf,Home Tidings,1882-06,3,36,16,1
HT0030037.pdf,Home Tidings,1882-07,3,37,20,1
HT0030038.pdf,Home Tidings,1882-08,3,38,20,1
HT0030039.pdf,Home Tidings,1882-09,3,39,16,1
HT0030040.pdf,Home Tidings,1882-10,3,40,28,1
HT0030041.pdf,Home Tidings,1882-11,3,41,16,1
HT0030042.pdf,Home Tidings,1882-12,3,42,24,1
HT0040043.pdf,Home Tidings,1883-02,4,43,16,1
HT0040044.pdf,Home Tidings,1883-02,4,44,16,13
HT0040045.pdf,Home Tidings,1883-03,4,45,36,1
HT0040046.pdf,Home Tidings,1883-04,4,46,24,1
HT0040047.pdf,Home Tidings,1883-05,4,47,24,1
HT0040048.pdf,Home Tidings,1883-06,4,48,28,1
HT0040049.pdf,Home Tidings,1883-07,4,49,24,1
HT0040050.pdf,Home Tidings,1883-08,4,50,24,1
HT0040051.pdf,Home Tidings,1883-09,4,51,20,1
HT0040052.pdf,Home Tidings,1883-10,4,52,32,1
HT0040053.pdf,Home Tidings,1883-11,4,53,24,1
HT0040054.pdf,Home Tidings,1883-12,4,54,28,1
HT0050055.pdf,Home Tidings,1884-01,5,55,17,1
HT0050056.pdf,Home Tidings,1884-02,5,56,32,1
HT0050057.pdf,Home Tidings,1884-03,5,57,28,1
HT0050058.pdf,Home Tidings,1884-04,5,58,28,1
HT0050059.pdf,Home Tidings,1884-05,5,59,28,1
HT0050060.pdf,Home Tidings,1884-06,5,60,44,1
HT0050061.pdf,Home Tidings,1884-07,5,61,32,1
HT0050062.pdf,Home Tidings,1884-08,5,62,24,1
HT0050063.pdf,Home Tidings,1884-09,5,63,28,1
HT0050064.pdf,Home Tidings,1884-09-27,5,64,16,1
HT0050065.pdf,Home Tidings,1884-10-04,5,65,16,1
HT0050066.pdf,Home Tidings,1884-10-11,5,66,16,1
HT0050067.pdf,Home Tidings,1884-10-18,5,67,16,1
HT0050068.pdf,Home Tidings,1884-10-25,5,68,16,1
HT0050069.pdf,Home Tidings,1884-11-01,5,69,16,1
HT0050070.pdf,Home Tidings,1884-11-08,5,70,16,1
HT0050071.pdf,Home Tidings,1884-11-15,5,71,16,1
HT0050072.pdf,Home Tidings,1884-11-22,5,72,16,1
HT0050073.pdf,Home Tidings,1884-11-29,5,73,16,1
HT0050074.pdf,Home Tidings,1884-12-06,5,74,16,1
HT0050075.pdf,Home Tidings,1884-12-13,5,75,20,1
HT0050076.pdf,Home Tidings,1884-12-20,5,76,16,1
HT0050077.pdf,Home Tidings,1884-12-27,5,77,16,1
HT0060078.pdf,Home Tidings,1885-01-03,6,78,16,1
HT0060079.pdf,Home Tidings,1885-01-10,6,79,16,1
HT0060080.pdf,Home Tidings,1885-01-17,6,80,16,1
HT0060081.pdf,Home Tidings,1885-01-24,6,81,16,1
HT0060082.pdf,Home Tidings,1885-01-31,6,82,16,1
HT0060083.pdf,Home Tidings,1885-02-07,6,83,16,1
HT0060084.pdf,Home Tidings,1885-02-14,6,84,16,1
HT0060085.pdf,Home Tidings,1885-02-21,6,85,16,1
HT0060086.pdf,Home Tidings,1885-02-28,6,86,16,1
HT0060087.pdf,Home Tidings,1885-03-07,6,87,16,1
HT0060088.pdf,Home Tidings,1885-03-14,6,88,16,1
HT0060089.pdf,Home Tidings,1885-03-21,6,89,20,1
HT0060090.pdf,Home Tidings,1885-03-28,6,90,16,1
HT0060091.pdf,Home Tidings,1885-04-04,6,91,16,1
HT0060092.pdf,Home Tidings,1885-04-11,6,92,16,1
HT0060093.pdf,Home Tidings,1885-04-18,6,93,17,1
HT0060094.pdf,Home Tidings,1885-04-25,6,94,16,1
HT0060095.pdf,Home Tidings,1885-05-02,6,95,20,1
HT0060096.pdf,Home Tidings,1885-05-09,6,96,16,1
HT0060097.pdf,Home Tidings,1885-05-16,6,97,16,1
HT0060098.pdf,Home Tidings,1885-05-23,6,98,16,1
HT0060099.pdf,Home Tidings,1885-05-30,6,99,16,1
HT0060100.pdf,Home Tidings,1885-06-06,6,100,20,1
HT0060101.pdf,Home Tidings,1885-06-13,6,101,16,1
HT0060102.pdf,Home Tidings,1885-06-20,6,102,16,1
HT0060103.pdf,Home Tidings,1885-06-27,6,103,12,1
HT0070104.pdf,Home Tidings,1885-07-04,7,104,16,1
HT0070105.pdf,Home Tidings,1885-07-11,7,105,16,1
HT0070106.pdf,Home Tidings,1885-07-18,7,106,16,1
